"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Zoltan","boneS10.mtx.hgr","no",3,2,0.03,64,0.00600000000000001,1.79823,"km1",7365,7365,"no"
"Zoltan","boneS10.mtx.hgr","no",4,2,0.03,64,0.0209999999999999,1.80865,"km1",7866,7866,"no"
"Zoltan","boneS10.mtx.hgr","no",5,2,0.03,64,0.00600000000000001,1.795,"km1",7293,7293,"no"
"Zoltan","boneS10.mtx.hgr","no",1,64,0.03,64,0.0269999999999999,5.1183,"km1",95094,93498,"no"
"Zoltan","boneS10.mtx.hgr","no",2,64,0.03,64,0.0269999999999999,5.14251,"km1",92382,91044,"no"
"Zoltan","boneS10.mtx.hgr","no",3,64,0.03,64,0.03,5.13391,"km1",94602,93213,"no"
"Zoltan","boneS10.mtx.hgr","no",4,64,0.03,64,0.0289999999999999,5.31937,"km1",91230,89841,"no"
"Zoltan","boneS10.mtx.hgr","no",5,64,0.03,64,0.028,5.05361,"km1",93993,92541,"no"
"Zoltan","boneS10.mtx.hgr","no",1,8,0.03,64,0.0249999999999999,3.67044,"km1",24654,24615,"no"
"Zoltan","boneS10.mtx.hgr","no",2,8,0.03,64,0.0229999999999999,3.71443,"km1",23859,23667,"no"
"Zoltan","boneS10.mtx.hgr","no",3,8,0.03,64,0.024,3.6814,"km1",26505,26505,"no"
"Zoltan","boneS10.mtx.hgr","no",4,8,0.03,64,0.0269999999999999,4.00928,"km1",25578,25578,"no"
"Zoltan","boneS10.mtx.hgr","no",5,8,0.03,64,0.018,3.65197,"km1",26544,26493,"no"
"Zoltan","Bump_2911.mtx.hgr","no",1,16,0.03,64,0.028,18.6763,"km1",377715,354096,"no"
"Zoltan","Bump_2911.mtx.hgr","no",2,16,0.03,64,0.026,18.8388,"km1",367014,343656,"no"
"Zoltan","Bump_2911.mtx.hgr","no",3,16,0.03,64,0.026,17.891,"km1",392367,368952,"no"
"Zoltan","Bump_2911.mtx.hgr","no",4,16,0.03,64,0.026,18.7364,"km1",374982,351528,"no"
"Zoltan","Bump_2911.mtx.hgr","no",5,16,0.03,64,0.0229999999999999,17.7969,"km1",402660,377109,"no"
"Zoltan","Bump_2911.mtx.hgr","no",1,2,0.03,64,0.024,8.36361,"km1",105492,105492,"no"
"Zoltan","Bump_2911.mtx.hgr","no",2,2,0.03,64,0.00099999999999989,7.83572,"km1",95826,95826,"no"
"Zoltan","Bump_2911.mtx.hgr","no",3,2,0.03,64,0,8.01742,"km1",91200,91200,"no"
"Zoltan","Bump_2911.mtx.hgr","no",4,2,0.03,64,0,8.15964,"km1",92709,92709,"no"
"Zoltan","Bump_2911.mtx.hgr","no",5,2,0.03,64,0.00099999999999989,8.13999,"km1",86358,86358,"no"
"Zoltan","Bump_2911.mtx.hgr","no",1,64,0.03,64,0.03,21.1716,"km1",696846,620745,"no"
"Zoltan","Bump_2911.mtx.hgr","no",2,64,0.03,64,0.0289999999999999,21.2455,"km1",707646,630276,"no"
"Zoltan","Bump_2911.mtx.hgr","no",3,64,0.03,64,0.026,20.3232,"km1",715107,637722,"no"
"Zoltan","Bump_2911.mtx.hgr","no",4,64,0.03,64,0.03,21.2268,"km1",702885,625773,"no"
"Zoltan","Bump_2911.mtx.hgr","no",5,64,0.03,64,0.03,20.2834,"km1",716121,637677,"no"
"Zoltan","Bump_2911.mtx.hgr","no",1,8,0.03,64,0.0209999999999999,16.6465,"km1",274263,262470,"no"
"Zoltan","Bump_2911.mtx.hgr","no",2,8,0.03,64,0.024,16.4612,"km1",271872,260298,"no"
"Zoltan","Bump_2911.mtx.hgr","no",3,8,0.03,64,0.0189999999999999,15.9986,"km1",287880,275832,"no"
"Zoltan","Bump_2911.mtx.hgr","no",4,8,0.03,64,0.0269999999999999,16.5563,"km1",245541,235350,"no"
"Zoltan","Bump_2911.mtx.hgr","no",5,8,0.03,64,0.028,15.6743,"km1",278616,266643,"no"
"Zoltan","circuit5M.mtx.hgr","no",1,16,0.03,64,0.03,22.8974,"km1",2994273,2983527,"no"
"Zoltan","circuit5M.mtx.hgr","no",2,16,0.03,64,0.03,24.3622,"km1",2869605,2853089,"no"
"Zoltan","circuit5M.mtx.hgr","no",3,16,0.03,64,0.03,22.819,"km1",2838952,2829066,"no"
"Zoltan","circuit5M.mtx.hgr","no",4,16,0.03,64,0.03,23.2619,"km1",2840268,2830423,"no"
"Zoltan","circuit5M.mtx.hgr","no",5,16,0.03,64,0.03,24.023,"km1",2913459,2899735,"no"
"Zoltan","circuit5M.mtx.hgr","no",1,2,0.03,64,0.00600000000000001,11.7039,"km1",9788,9788,"no"
"Zoltan","circuit5M.mtx.hgr","no",2,2,0.03,64,0.03,12.2498,"km1",52591,52591,"no"
"Zoltan","circuit5M.mtx.hgr","no",3,2,0.03,64,0.00600000000000001,11.5992,"km1",9859,9859,"no"
"Zoltan","circuit5M.mtx.hgr","no",4,2,0.03,64,0.00600000000000001,11.6886,"km1",9745,9745,"no"
"Zoltan","circuit5M.mtx.hgr","no",5,2,0.03,64,0.03,12.1989,"km1",63046,63046,"no"
"Zoltan","circuit5M.mtx.hgr","no",1,64,0.03,64,0.03,25.8874,"km1",4694969,4642543,"no"
"Zoltan","circuit5M.mtx.hgr","no",2,64,0.03,64,0.03,27.0243,"km1",4765705,4655538,"no"
"Zoltan","circuit5M.mtx.hgr","no",3,64,0.03,64,0.03,25.4301,"km1",4715262,4646399,"no"
"Zoltan","circuit5M.mtx.hgr","no",4,64,0.03,64,0.03,26.2245,"km1",4705190,4649315,"no"
"Zoltan","circuit5M.mtx.hgr","no",5,64,0.03,64,0.03,26.545,"km1",4720723,4654186,"no"
"Zoltan","circuit5M.mtx.hgr","no",1,8,0.03,64,0.03,21.0214,"km1",1865065,1859962,"no"
"Zoltan","circuit5M.mtx.hgr","no",2,8,0.03,64,0.03,21.8965,"km1",1781681,1774393,"no"
"Zoltan","circuit5M.mtx.hgr","no",3,8,0.03,64,0.03,20.6587,"km1",1756204,1751903,"no"
"Zoltan","circuit5M.mtx.hgr","no",4,8,0.03,64,0.03,21.1025,"km1",1765739,1761011,"no"
"Zoltan","circuit5M.mtx.hgr","no",5,8,0.03,64,0.03,21.6328,"km1",1829202,1821643,"no"
"Zoltan","CurlCurl_4.mtx.hgr","no",1,16,0.03,64,0.0229999999999999,7.98576,"km1",153982,150725,"no"
"Zoltan","CurlCurl_4.mtx.hgr","no",2,16,0.03,64,0.0189999999999999,8.00939,"km1",157070,153870,"no"
"Zoltan","CurlCurl_4.mtx.hgr","no",3,16,0.03,64,0.02,8.02867,"km1",159078,155424,"no"
"Zoltan","CurlCurl_4.mtx.hgr","no",4,16,0.03,64,0.02,7.99937,"km1",155845,152450,"no"
"Zoltan","CurlCurl_4.mtx.hgr","no",5,16,0.03,64,0.0169999999999999,8.02684,"km1",157131,153912,"no"
"Zoltan","CurlCurl_4.mtx.hgr","no",1,2,0.03,64,0,3.57169,"km1",30388,30388,"no"
