"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","preprocessing_time","coarsening_time","initial_partitioning_time","batch_uncontraction_time","label_propagation_time","fm_time","objective","km1","cut","failed"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,16,0.03,64,0.0199459,2.05615,0.33761,0.50835,0.301886,0.297761,0.0317,0.275482,"km1",33805,33535,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,16,0.03,64,0.0161265,2.19246,0.33528,0.497099,0.369042,0.319383,0.0361225,0.364912,"km1",33180,32910,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,16,0.03,64,0.018938,2.0407,0.336757,0.481723,0.274708,0.305247,0.0345481,0.348976,"km1",33830,33560,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,16,0.03,64,0.0205825,2.07878,0.334402,0.479757,0.312346,0.300997,0.0316089,0.329296,"km1",34060,33790,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,16,0.03,64,0.0169752,2.19219,0.336341,0.48267,0.297814,0.30814,0.0360327,0.434811,"km1",33455,33185,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,2,0.03,64,6.89625e-05,1.4984,0.334381,0.518048,0.00898181,0.293416,0.00666953,0.0351557,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,2,0.03,64,0.00707794,1.5108,0.332414,0.516404,0.00893575,0.294643,0.00921921,0.0470965,"km1",5360,5360,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,2,0.03,64,3.58075e-05,1.46086,0.334447,0.503992,0.00977213,0.291942,0.00706319,0.0293839,"km1",5350,5350,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,2,0.03,64,0.00524115,1.4806,0.328814,0.511248,0.00983331,0.296783,0.00722716,0.04287,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,2,0.03,64,8.22245e-05,1.49271,0.335651,0.503111,0.0104266,0.294589,0.00876189,0.0571421,"km1",5260,5260,"no"
