"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",2,16,0.03,64,0.0268266,1.3071,"km1",29085,28953,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",3,16,0.03,64,0.0289602,1.33264,"km1",28494,28443,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",4,16,0.03,64,0.0268091,1.33331,"km1",30585,30498,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",5,16,0.03,64,0.0265118,1.31074,"km1",29973,29868,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",1,2,0.03,64,0.0279091,1.01212,"km1",4965,4965,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",2,2,0.03,64,0.0271637,1.01866,"km1",5367,5367,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",3,2,0.03,64,0.0163581,0.979868,"km1",5247,5247,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",4,2,0.03,64,0.0273517,1.03016,"km1",5118,5118,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",5,2,0.03,64,0.0269232,0.980084,"km1",5238,5238,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",1,64,0.03,64,0.0286794,2.11428,"km1",69177,68190,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",2,64,0.03,64,0.0285395,2.20823,"km1",68385,67560,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",3,64,0.03,64,0.0281897,2.03449,"km1",69039,68097,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",4,64,0.03,64,0.0284695,2.07444,"km1",68019,67302,"no"
"Mt-KaHyPar Fast","boneS10.mtx.hgr","no",5,64,0.03,64,0.0280498,2.13861,"km1",68691,67731,"no"
