"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","preprocessing_time","coarsening_time","initial_partitioning_time","batch_uncontraction_time","label_propagation_time","fm_time","objective","km1","cut","failed"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,16,0.03,1,0.0298127,36.248,7.76415,11.0435,1.24587,6.99436,0.30454,4.1636,"km1",33630,33360,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,16,0.03,1,0.0264177,37.0195,7.69282,10.9691,1.18493,6.94392,0.303178,4.87492,"km1",32550,32280,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,16,0.03,1,0.0247732,36.659,7.71399,11.002,1.225,7.00196,0.315912,4.89907,"km1",33075,32820,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,16,0.03,1,0.0293884,35.6482,7.67899,11.0079,1.21662,7.00592,0.288275,4.48034,"km1",33780,33510,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,16,0.03,1,0.0284335,36.7145,7.66835,11.0325,1.23796,6.97978,0.282989,4.83189,"km1",33625,33355,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,2,0.03,1,0.00132222,30.2922,7.7685,11.7487,0.0801582,7.34125,0.0264056,0.226201,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,2,0.03,1,2.6524e-06,29.9876,7.70234,11.6561,0.0846957,7.28482,0.0260484,0.165605,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,2,0.03,1,0.000433668,30.4044,7.71617,11.7031,0.0841983,7.34895,0.0302369,0.439415,"km1",5310,5310,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,2,0.03,1,0.00486318,30.2315,7.68097,11.6949,0.0653727,7.33999,0.028058,0.342028,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,2,0.03,1,0.0011034,30.2691,7.65723,11.7318,0.0832097,7.33034,0.0300487,0.382287,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,64,0.03,1,0.029961,61.8814,7.77409,10.5624,5.50743,6.78547,0.668871,19.8907,"km1",76505,75020,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,64,0.03,1,0.029961,62.8502,7.74986,10.5234,5.57686,6.77308,0.716837,19.2793,"km1",76295,74810,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,64,0.03,1,0.029961,64.4818,7.70925,10.5244,5.5706,6.80657,0.696526,19.479,"km1",76835,75380,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,64,0.03,1,0.029961,60.8147,7.69575,10.5469,5.75364,6.82373,0.687364,18.6508,"km1",76755,75285,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,64,0.03,1,0.0297488,59.704,7.66879,10.5693,5.54416,6.77923,0.684072,18.0818,"km1",78225,76755,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,8,0.03,1,0.0271923,32.985,7.76441,11.3357,0.612076,7.08352,0.163375,1.99634,"km1",19880,19790,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,8,0.03,1,0.0299508,32.2622,7.62235,11.3042,0.541478,7.07067,0.156885,1.83464,"km1",21975,21885,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,8,0.03,1,0.0254152,32.9949,7.71563,11.3046,0.546109,7.09343,0.15522,2.09289,"km1",21160,21070,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,8,0.03,1,0.0153627,32.5287,7.68024,11.313,0.531261,7.10117,0.167344,2.13672,"km1",21235,21145,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,8,0.03,1,0.0225241,33.1162,7.6606,11.334,0.528391,7.07948,0.172767,2.20509,"km1",21370,21280,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,16,0.03,1,0.0299804,12.4154,2.5263,3.55367,1.22312,2.06797,0.109576,1.6955,"km1",16360,16180,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,16,0.03,1,0.0238005,13.3131,2.51989,3.52845,1.24849,2.05727,0.121396,1.79551,"km1",16470,16305,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,16,0.03,1,0.027445,12.5123,2.52993,3.55491,1.24291,2.06288,0.110413,1.69043,"km1",16190,16010,"no"
