"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","preprocessing_time","coarsening_time","initial_partitioning_time","batch_uncontraction_time","label_propagation_time","fm_time","objective","km1","cut","failed"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,2,0.03,16,0.0185875,0.932096,0.229726,0.340707,0.00734869,0.213121,0.00383038,0.0156815,"km1",2050,2050,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",4,2,0.03,16,0.00335541,0.929413,0.232703,0.340285,0.00856226,0.212871,0.00411739,0.0117388,"km1",1955,1955,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",5,2,0.03,16,0.00551444,0.938091,0.233349,0.343309,0.0081071,0.21395,0.00472978,0.0134743,"km1",1970,1970,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,64,0.03,16,0.0299151,2.63734,0.235578,0.32012,0.476424,0.23152,0.0641297,0.838445,"km1",41390,40130,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,64,0.03,16,0.0299151,2.51992,0.23119,0.316377,0.486018,0.237336,0.0657304,0.855216,"km1",41995,40750,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,64,0.03,16,0.0299151,2.54011,0.234281,0.323152,0.468615,0.222972,0.064877,0.791166,"km1",42160,40930,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",4,64,0.03,16,0.0299151,2.59646,0.233804,0.31977,0.506662,0.234805,0.066154,0.848382,"km1",42310,41065,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",5,64,0.03,16,0.0299151,2.48515,0.235553,0.315394,0.466428,0.224648,0.0653639,0.82338,"km1",42345,41085,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,8,0.03,16,0.0160521,1.12345,0.234667,0.32907,0.09429,0.214422,0.0146002,0.115598,"km1",8705,8660,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,8,0.03,16,0.0170029,1.06769,0.233375,0.334896,0.0825702,0.20915,0.0145882,0.0705096,"km1",8650,8620,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,8,0.03,16,0.0211229,1.13665,0.235772,0.342489,0.0947625,0.214639,0.0149915,0.101257,"km1",8930,8900,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",4,8,0.03,16,0.0219944,1.11165,0.236306,0.331361,0.0885983,0.213941,0.0149522,0.0903114,"km1",8770,8740,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",5,8,0.03,16,0.0127244,1.11086,0.236265,0.332241,0.0927914,0.214508,0.0143638,0.0899358,"km1",8765,8735,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",1,16,0.03,16,0.0293274,4.12191,0.58639,1.26104,0.186027,0.843461,0.0947903,0.560177,"km1",28491,28317,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",2,16,0.03,16,0.0294323,3.97551,0.578792,1.24063,0.191057,0.847382,0.0930089,0.552005,"km1",28929,28809,"no"
