graph,k,epsilon,num_threads,min_km1,avg_km1,min_cut,avg_cut,min_imbalance,avg_imbalance,min_total_time,avg_total_time,avg_time,timeout,failed,infeasible,invalid,instance,algo
Bump_2911.mtx.hgr,8,0.03,64,211482,211482,203325,203325,0.0286705,0.0286705,10.4378,10.4378,10.4378,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
Bump_2911.mtx.hgr,16,0.03,64,312285,319115.25,293676,300366,0.00745752,0.01139923,3.60601,3.7248625,3.7248625,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
Bump_2911.mtx.hgr,16,0.03,64,315537,315537,296610,296610,0.029962,0.029962,13.9995,13.9995,13.9995,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
Bump_2911.mtx.hgr,64,0.03,64,590313,595392,529335,533400,0.029918,0.0299488,6.6227,6.818388,6.818388,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
Bump_2911.mtx.hgr,64,0.03,64,582150,582150,522561,522561,0.029962,0.029962,30.0067,30.0067,30.0067,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
circuit5M.mtx.hgr,2,0.03,64,9237,10473.4,9237,10473.4,0.000182789,0.0081233198,6.33426,7.456528,7.456528,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
circuit5M.mtx.hgr,2,0.03,64,9948,9948,9948,9948,0.00735581,0.00735581,282.079,282.079,282.079,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
circuit5M.mtx.hgr,8,0.03,64,1789218,1833333,1785403,1828792.8,0.0299989,0.0299989,11.7507,14.88804,14.88804,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
circuit5M.mtx.hgr,8,0.03,64,1760283,1760283,1756299,1756299,0.0299989,0.0299989,241.451,241.451,241.451,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
circuit5M.mtx.hgr,16,0.03,64,2890157,2956960,2881414,2948233,0.0299975,0.0299975,18.304,19.50908,19.50908,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
circuit5M.mtx.hgr,16,0.03,64,2869099,2869099,2855962,2855962,0.0299975,0.0299975,272.372,272.372,272.372,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
circuit5M.mtx.hgr,64,0.03,64,4671425,4679030.6,4646527,4652613,0.0299946,0.0299946,35.2908,37.44224,37.44224,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
circuit5M.mtx.hgr,64,0.03,64,4685758,4685758,4649102,4649102,0.0299946,0.0299946,613.891,613.891,613.891,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
CurlCurl_4.mtx.hgr,2,0.03,64,25968,26378,25968,26378,0.00291365,0.00803941666666667,1.204,1.22557666666667,1.22557666666667,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
CurlCurl_4.mtx.hgr,2,0.03,64,26043,26043,26043,26043,8.40154e-07,8.40154e-07,3.99669,3.99669,3.99669,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
CurlCurl_4.mtx.hgr,8,0.03,64,88988,90009,88189,89073.5,0.00725892,0.013387005,1.62994,1.7064975,1.7064975,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
CurlCurl_4.mtx.hgr,8,0.03,64,91954,91954,90984,90984,0.0201267,0.0201267,7.12682,7.12682,7.12682,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
CurlCurl_4.mtx.hgr,16,0.03,64,142843,144452,140125,141686,0.0198544,0.0212306,1.98966,2.0727,2.0727,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
CurlCurl_4.mtx.hgr,16,0.03,64,139509,139509,136922,136922,0.0222337,0.0222337,10.0783,10.0783,10.0783,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
CurlCurl_4.mtx.hgr,64,0.03,64,286995,288702.6,276063,277818.4,0.0288472,0.02929886,3.56911,3.63838,3.63838,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
CurlCurl_4.mtx.hgr,64,0.03,64,282172,282172,271844,271844,0.0299226,0.0299226,22.3201,22.3201,22.3201,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue11.hgr,2,0.03,64,1392,1593.5,1392,1593.5,0.00395587,0.0225289175,0.541564,0.58152425,0.58152425,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue11.hgr,2,0.03,64,1590,1590,1590,1590,0.0284176,0.0284176,2.37069,2.37069,2.37069,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue11.hgr,8,0.03,64,8449,8707,8374,8597.66666666667,0.0273718,0.0284188666666667,0.883598,0.920976,0.920976,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue11.hgr,8,0.03,64,8310,8310,8257,8257,0.0289928,0.0289928,3.05148,3.05148,3.05148,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue11.hgr,16,0.03,64,15594,16188,15231,15803,0.0263556,0.0286680666666667,1.15427,1.20732,1.20732,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue11.hgr,16,0.03,64,15769,15769,15408,15408,0.0241887,0.0241887,4.23618,4.23618,4.23618,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue11.hgr,64,0.03,64,47240,47758.75,44614,44850.5,0.0296311,0.0297151,2.01637,2.0641975,2.0641975,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue11.hgr,64,0.03,64,47489,47489,44803,44803,0.0281529,0.0281529,9.68744,9.68744,9.68744,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
