"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","preprocessing_time","coarsening_time","initial_partitioning_time","batch_uncontraction_time","label_propagation_time","fm_time","objective","km1","cut","failed"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,16,0.03,4,0.0265238,10.2272,2.19074,3.01853,0.29709,1.78017,0.0885598,1.45582,"km1",32260,31990,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,16,0.03,4,0.0293353,10.0188,2.18261,3.03451,0.299843,1.73952,0.0824244,1.23126,"km1",33170,32900,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,16,0.03,4,0.02785,10.3065,2.21616,3.00206,0.30811,1.77704,0.0902689,1.40323,"km1",32705,32435,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,16,0.03,4,0.0293884,9.70367,2.18063,3.00925,0.304535,1.75768,0.0783808,1.10601,"km1",32985,32715,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,16,0.03,4,0.0280091,9.66007,2.1759,3.02673,0.319863,1.78462,0.0799258,1.0693,"km1",33455,33185,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,2,0.03,4,0.000102118,8.09635,2.23154,3.17054,0.0187846,1.81936,0.00965463,0.0547065,"km1",5290,5290,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,2,0.03,4,5.57005e-05,8.12414,2.22643,3.1856,0.020585,1.83093,0.00901282,0.0593456,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,2,0.03,4,2.6524e-06,8.05451,2.19247,3.18186,0.0226906,1.8305,0.00935165,0.0404762,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,2,0.03,4,0.0154861,8.23367,2.23452,3.18522,0.0232789,1.82698,0.00992835,0.110548,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,2,0.03,4,2.6524e-06,8.11412,2.21844,3.20921,0.0258713,1.82301,0.0107066,0.0472724,"km1",5250,5250,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,64,0.03,4,0.029961,15.5932,2.19127,2.90598,1.314,1.72298,0.199338,4.51099,"km1",76795,75340,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,64,0.03,4,0.029961,16.116,2.15006,2.8833,1.29148,1.75581,0.207048,4.86549,"km1",77935,76450,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,64,0.03,4,0.029961,16.4775,2.17276,2.87091,1.32404,1.73972,0.206294,4.74785,"km1",76560,75105,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,64,0.03,4,0.0297488,15.4023,2.18418,2.8794,1.31144,1.74817,0.188121,4.23658,"km1",77360,75905,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,64,0.03,4,0.029961,17.041,2.18825,2.88317,1.32929,1.73816,0.200594,4.32208,"km1",77940,76470,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",1,8,0.03,4,0.0289694,8.81269,2.20914,3.07855,0.156877,1.76163,0.0461092,0.532519,"km1",20825,20735,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",2,8,0.03,4,0.0199778,9.08435,2.16441,3.07719,0.144932,1.80145,0.0500865,0.643557,"km1",20935,20845,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",3,8,0.03,4,0.0200839,8.71894,2.16666,3.08016,0.145399,1.75454,0.0491555,0.502945,"km1",21230,21140,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",4,8,0.03,4,0.0230016,8.59825,2.2112,3.08939,0.139562,1.75127,0.0443836,0.431367,"km1",20910,20820,"no"
"Mt-KaHyPar-Q","af_shell10.mtx.hgr","no",5,8,0.03,4,0.0206409,8.99952,2.18919,3.08215,0.13974,1.77763,0.0484693,0.612128,"km1",21055,20965,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,16,0.03,4,0.0277619,3.39876,0.683974,0.949721,0.308471,0.518444,0.0326599,0.463882,"km1",15965,15770,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,16,0.03,4,0.0283958,3.28726,0.684916,0.941787,0.335289,0.52113,0.0321245,0.342501,"km1",16510,16330,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,16,0.03,4,0.0269696,3.32176,0.694022,0.949552,0.321292,0.520058,0.0329254,0.378418,"km1",16385,16220,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",4,16,0.03,4,0.0220574,3.39686,0.689856,0.951058,0.323723,0.512481,0.0348505,0.433083,"km1",16445,16310,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",5,16,0.03,4,0.0291881,3.27166,0.678375,0.951225,0.338297,0.508948,0.0330673,0.383658,"km1",16560,16395,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,2,0.03,4,0.00705944,2.52483,0.686299,1.00052,0.0201657,0.533941,0.00399614,0.0210832,"km1",1930,1930,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,2,0.03,4,0.000423883,2.52823,0.708216,0.977276,0.0230818,0.551753,0.00419502,0.0190169,"km1",1885,1885,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,2,0.03,4,0.000641767,2.49073,0.681059,0.999872,0.0207061,0.526367,0.00326774,0.0127871,"km1",1830,1830,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",4,2,0.03,4,0.00220657,2.54515,0.699858,0.991723,0.022513,0.547478,0.00429532,0.0281918,"km1",1960,1960,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",5,2,0.03,4,0.00062196,2.51781,0.689069,0.986068,0.0214756,0.547715,0.0042732,0.0174979,"km1",1900,1900,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,64,0.03,4,0.0299151,6.88557,0.68987,0.908128,1.39393,0.520981,0.0835888,1.94646,"km1",42555,41265,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,64,0.03,4,0.0299151,6.95867,0.707454,0.910769,1.37075,0.51045,0.0873296,1.97318,"km1",41955,40755,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,64,0.03,4,0.0299151,6.90472,0.686488,0.920331,1.33859,0.50539,0.0824688,2.02268,"km1",42360,41145,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",4,64,0.03,4,0.0299151,6.98733,0.689798,0.918704,1.37318,0.508824,0.0855024,2.0655,"km1",41985,40770,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",5,64,0.03,4,0.0299151,6.85421,0.691385,0.924976,1.40175,0.496454,0.079104,1.91065,"km1",42390,41145,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",1,8,0.03,4,0.0270651,2.73961,0.684748,0.963134,0.1495,0.520454,0.0150957,0.135629,"km1",8825,8795,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",2,8,0.03,4,0.0232621,2.72897,0.692064,0.95874,0.147391,0.518355,0.0165199,0.132343,"km1",8715,8685,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",3,8,0.03,4,0.0296798,2.76301,0.693598,0.962908,0.152469,0.518208,0.0173789,0.138362,"km1",8665,8635,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",4,8,0.03,4,0.0299967,2.85735,0.693407,0.9672,0.142774,0.521689,0.0167747,0.150024,"km1",9155,9125,"no"
"Mt-KaHyPar-Q","af_shell6.mtx.hgr","no",5,8,0.03,4,0.0242921,2.85256,0.700063,0.973944,0.16426,0.527137,0.0162583,0.138924,"km1",8750,8720,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",1,16,0.03,4,0.0281382,12.5892,1.81322,4.36894,0.44572,2.48297,0.165624,1.73198,"km1",28932,28893,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",2,16,0.03,4,0.0296597,12.6818,1.82951,4.32347,0.423558,2.43593,0.166725,1.77255,"km1",30198,29955,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",3,16,0.03,4,0.0295548,13.0255,1.7925,4.36866,0.43293,2.46314,0.156193,1.74464,"km1",29367,29331,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",4,16,0.03,4,0.029922,12.8493,1.75265,4.36379,0.450777,2.45283,0.152051,1.56754,"km1",28095,27936,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",5,16,0.03,4,0.029922,12.7551,1.86287,4.34759,0.430021,2.46303,0.169923,1.80961,"km1",29013,28983,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",1,2,0.03,4,0.0290131,10.1045,1.81266,4.56477,0.0157729,2.69269,0.0223572,0.114987,"km1",4761,4761,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",2,2,0.03,4,0.0294831,10.0301,1.82901,4.54747,0.0171966,2.61159,0.022621,0.10503,"km1",5025,5025,"no"
"Mt-KaHyPar-Q","boneS10.mtx.hgr","no",3,2,0.03,4,0.0277976,10.0067,1.79111,4.59097,0.0160893,2.65464,0.0208123,0.0958535,"km1",4599,4599,"no"
